"Time";"Pod";"CPU Usage";"CPU Requests";"CPU Requests %";"CPU Limits";"CPU Limits %"
undefined;"spark-hb-preload-jkg-image-1589680800-dhzx9";"'-";"0";"'-";"0";"'-"
undefined;"wdp-db2-secret-job-ncbpt";"'-";"0.10";"'-";"0.20";"'-"
undefined;"ibm-notebooks-prod-wsl-init-job-mhqsf";"'-";"0.10";"'-";"0.50";"'-"
undefined;"train-wml-autoai-fdec3b4a-c578-4c2d-b94d-261e75f97d22-frbnx";"'-";"4.00";"'-";"4.00";"'-"
undefined;"dv-init-volume-v7zl2";"'-";"0.50";"'-";"0.50";"'-"
undefined;"ibm-environments-prod-ccs-init-job-ghbz4";"'-";"0.10";"'-";"0.50";"'-"
undefined;"iis-secret-generation-job-bbvvw";"'-";"0.10";"'-";"0.50";"'-"
undefined;"spark-hb-init-preload-jkg-image-l5nsv";"'-";"0";"'-";"0";"'-"
undefined;"db2oltp-1589576934720-db2u-nginx-config-job-pcb6b";"'-";"0.10";"'-";"0.20";"'-"
undefined;"c8b8d4b0d6582ee9-1000331003-1589592489-fjxz2";"'-";"1.00";"'-";"2.00";"'-"
undefined;"spark-hb-preload-jkg-image-1589680800-f6tk2";"'-";"0";"'-";"0";"'-"
undefined;"post-install-repo-cams-asssettype-7k7g7";"'-";"0.50";"'-";"1.00";"'-"
undefined;"spark-hb-init-preload-jkg-image-bl6fx";"'-";"0";"'-";"0";"'-"
undefined;"spark-hb-init-preload-jkg-image-7s974";"'-";"0";"'-";"0";"'-"
undefined;"wkc-roles-init-86fxx";"'-";"0.10";"'-";"0.50";"'-"
undefined;"spark-hb-preload-jkg-image-1589680800-8dv52";"'-";"0";"'-";"0";"'-"
undefined;"spark-hb-preload-jkg-image-1589680800-st2ld";"'-";"0";"'-";"0";"'-"
undefined;"spark-hb-preload-jkg-image-1589680800-jz9sz";"'-";"0";"'-";"0";"'-"
undefined;"spark-hb-init-preload-jkg-image-f9zbd";"'-";"0";"'-";"0";"'-"
undefined;"spark-hb-init-preload-jkg-image-km884";"'-";"0";"'-";"0";"'-"
undefined;"spark-hb-job-cleanup-cron-1589684400-rwjb6";"'-";"0.10";"'-";"0.10";"'-"
undefined;"dsx-influxdb-set-auth-qsrrw";"'-";"0.20";"'-";"1.00";"'-"
undefined;"spark-hb-preload-jkg-image-1589680800-jdkjs";"'-";"0";"'-";"0";"'-"
undefined;"spark-hb-preload-jkg-image-1589680800-lcpkv";"'-";"0";"'-";"0";"'-"
undefined;"bc637b7a5689c881-1000331003-1589584178-qcsjr";"'-";"1.00";"'-";"2.00";"'-"
undefined;"change-pvc-permissions-lkbls";"'-";"0.10";"'-";"0.50";"'-"
undefined;"zen-migrate-user-roles-job-m4sqh";"'-";"0.20";"'-";"1.00";"'-"
undefined;"spark-hb-preload-jkg-image-1589680800-bdddg";"'-";"0";"'-";"0";"'-"
undefined;"spark-hb-preload-jkg-image-1589680800-fszxn";"'-";"0";"'-";"0";"'-"
undefined;"wkc-glossary-service-sync-cronjob-1589616000-5xkjt";"'-";"0.10";"'-";"0.50";"'-"
undefined;"sample-data-job-7s5kn";"'-";"0";"'-";"0";"'-"
undefined;"dsx-requisite-pre-install-job-cwf7m";"'-";"0.02";"'-";"0.50";"'-"
undefined;"spark-hb-preload-jkg-image-1589680800-27xzk";"'-";"0";"'-";"0";"'-"
