"Time";"Pod";"Memory Usage";"Memory Requests";"Memory Requests %";"Memory Limits";"Memory Limits %";"Memory Usage (RSS)";"Memory Usage (Cache)";"Memory Usage (Swap)"
undefined;"post-install-repo-cams-asssettype-7k7g7";"'-";"1.00 GiB";"'-";"1.00 GiB";"'-";"'-";"'-";"'-"
undefined;"9e892363ec6139c5-1000331001-1589592486-jvl4r";"'-";"2.00 GiB";"'-";"2.00 GiB";"'-";"'-";"'-";"'-"
undefined;"spark-hb-preload-jkg-image-1589680800-jz9sz";"'-";"0 B";"'-";"0 B";"'-";"'-";"'-";"'-"
undefined;"create-iira-secrets-job-4jptr";"'-";"128.00 MiB";"'-";"128.00 MiB";"'-";"'-";"'-";"'-"
undefined;"spark-hb-preload-jkg-image-1589680800-9hmwx";"'-";"0 B";"'-";"0 B";"'-";"'-";"'-";"'-"
undefined;"spark-hb-preload-jkg-image-1589680800-cgnpv";"'-";"0 B";"'-";"0 B";"'-";"'-";"'-";"'-"
undefined;"spark-hb-init-preload-jkg-image-fvdq6";"'-";"0 B";"'-";"0 B";"'-";"'-";"'-";"'-"
undefined;"aiopenscale-ibm-aios-private-deployment-cleanup-1589670000gjqnk";"'-";"1.50 GiB";"'-";"1.50 GiB";"'-";"'-";"'-";"'-"
undefined;"0d1a271562dbb21c-1000331004-1589570016-t9xv6";"'-";"2.00 GiB";"'-";"2.00 GiB";"'-";"'-";"'-";"'-"
undefined;"wkc-roles-init-86fxx";"'-";"122.07 MiB";"'-";"244.14 MiB";"'-";"'-";"'-";"'-"
undefined;"spark-hb-terminating-pod-cleanup-cron-1589686200-6trr8";"'-";"256.00 MiB";"'-";"256.00 MiB";"'-";"'-";"'-";"'-"
undefined;"spark-hb-preload-jkg-image-1589680800-bdddg";"'-";"0 B";"'-";"0 B";"'-";"'-";"'-";"'-"
undefined;"026750fed72e2046-1000331004-1589584176-tz9qj";"'-";"2.00 GiB";"'-";"2.00 GiB";"'-";"'-";"'-";"'-"
undefined;"cb304ec23245895e-1000331004-1589592493-ncbh2";"'-";"2.00 GiB";"'-";"2.00 GiB";"'-";"'-";"'-";"'-"
undefined;"wkc-glossary-service-sync-cronjob-1589616000-5xkjt";"'-";"122.07 MiB";"'-";"244.14 MiB";"'-";"'-";"'-";"'-"
undefined;"spark-hb-init-preload-jkg-image-2nwx6";"'-";"0 B";"'-";"0 B";"'-";"'-";"'-";"'-"
undefined;"wdp-db2-secret-job-ncbpt";"'-";"128.00 MiB";"'-";"256.00 MiB";"'-";"'-";"'-";"'-"
undefined;"dv-init-volume-v7zl2";"'-";"512.00 MiB";"'-";"512.00 MiB";"'-";"'-";"'-";"'-"
undefined;"dsx-requisite-pre-install-job-cwf7m";"'-";"64.00 MiB";"'-";"512.00 MiB";"'-";"'-";"'-";"'-"
undefined;"jupyter-py36-99f6c334-2db7-4e93-bb4e-91ca9aaeec47-858b6758l7w9k";"'-";"4.00 GiB";"'-";"4.00 GiB";"'-";"'-";"'-";"'-"
undefined;"wkc-glossary-service-sync-cronjob-1589644800-tdsxg";"'-";"122.07 MiB";"'-";"244.14 MiB";"'-";"'-";"'-";"'-"
undefined;"ug-secret-generation-job-8lbv5";"'-";"256.00 MiB";"'-";"512.00 MiB";"'-";"'-";"'-";"'-"
undefined;"spark-hb-preload-jkg-image-1589680800-dhzx9";"'-";"0 B";"'-";"0 B";"'-";"'-";"'-";"'-"
undefined;"spark-hb-init-preload-jkg-image-cxrr6";"'-";"0 B";"'-";"0 B";"'-";"'-";"'-";"'-"
undefined;"db2oltp-1589576934720-db2u-nginx-config-job-pcb6b";"'-";"50.00 MiB";"'-";"100.00 MiB";"'-";"'-";"'-";"'-"
undefined;"spark-hb-preload-jkg-image-1589680800-hp8ls";"'-";"0 B";"'-";"0 B";"'-";"'-";"'-";"'-"
undefined;"c8b8d4b0d6582ee9-1000331003-1589592489-fjxz2";"'-";"2.00 GiB";"'-";"2.00 GiB";"'-";"'-";"'-";"'-"
undefined;"zen-migrate-user-roles-job-m4sqh";"'-";"256.00 MiB";"'-";"512.00 MiB";"'-";"'-";"'-";"'-"
undefined;"spark-hb-init-preload-jkg-image-wjhnx";"'-";"0 B";"'-";"0 B";"'-";"'-";"'-";"'-"
